*****************New Instance************************
StartTime = 0.000000
New Iteration
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 87.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 85.000000 	 Time: 	 0.000000
0.- GRASP: 	 81.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 81.000000 	 Time: 	 0.000000
0.- GRASP: 	 66.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 66.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 81.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 87.000000 	 Time: 	 0.000000
0.- GRASP: 	 81.000000 	 Time: 	 0.000000
0.- GRASP: 	 81.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 81.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 87.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 66.000000 	 Time: 	 0.000000
0.- GRASP: 	 87.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 81.000000 	 Time: 	 0.000000
0.- GRASP: 	 81.000000 	 Time: 	 0.000000
0.- GRASP: 	 85.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 84.000000 	 Time: 	 0.000000
0.- GRASP: 	 66.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 81.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 81.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
0.- GRASP: 	 87.000000 	 Time: 	 0.000000
0.- GRASP: 	 85.000000 	 Time: 	 0.000000
0.- GRASP: 	 70.000000 	 Time: 	 0.000000
New Iteration
2.- Perturbation: 	 66.000000 	 Time: 	 0.000000
3.- Local Search: 	 66.000000 	 Time: 	 0.000000
2.- Perturbation: 	 90.000000 	 Time: 	 0.000000
3.- Local Search: 	 90.000000 	 Time: 	 0.000000
2.- Perturbation: 	 82.000000 	 Time: 	 0.000000
3.- Local Search: 	 82.000000 	 Time: 	 0.000000
2.- Perturbation: 	 82.000000 	 Time: 	 0.000000
3.- Local Search: 	 82.000000 	 Time: 	 0.000000
2.- Perturbation: 	 90.000000 	 Time: 	 0.000000
3.- Local Search: 	 90.000000 	 Time: 	 0.000000
2.- Perturbation: 	 92.000000 	 Time: 	 0.000000
3.- Local Search: 	 92.000000 	 Time: 	 0.000000
2.- Perturbation: 	 99.000000 	 Time: 	 0.000000
3.- Local Search: 	 99.000000 	 Time: 	 0.000000
2.- Perturbation: 	 95.000000 	 Time: 	 0.000000
3.- Local Search: 	 95.000000 	 Time: 	 0.000000
2.- Perturbation: 	 108.000000 	 Time: 	 0.000000
3.- Local Search: 	 108.000000 	 Time: 	 0.000000
2.- Perturbation: 	 118.000000 	 Time: 	 0.000000
3.- Local Search: 	 118.000000 	 Time: 	 0.000000
2.- Perturbation: 	 81.000000 	 Time: 	 0.000000
3.- Local Search: 	 81.000000 	 Time: 	 0.000000
2.- Perturbation: 	 81.000000 	 Time: 	 0.000000
3.- Local Search: 	 81.000000 	 Time: 	 0.000000
2.- Perturbation: 	 81.000000 	 Time: 	 0.000000
3.- Local Search: 	 81.000000 	 Time: 	 0.000000
2.- Perturbation: 	 128.000000 	 Time: 	 0.000000
3.- Local Search: 	 128.000000 	 Time: 	 0.000000
2.- Perturbation: 	 120.000000 	 Time: 	 0.000000
3.- Local Search: 	 120.000000 	 Time: 	 0.000000
1.- Communication: 	 66.000000 	 Time: 	 0.000000
New Iteration
2.- Perturbation: 	 99.000000 	 Time: 	 0.000000
3.- Local Search: 	 99.000000 	 Time: 	 0.000000
2.- Perturbation: 	 114.000000 	 Time: 	 0.000000
3.- Local Search: 	 114.000000 	 Time: 	 0.000000
2.- Perturbation: 	 128.000000 	 Time: 	 0.000000
3.- Local Search: 	 128.000000 	 Time: 	 0.000000
2.- Perturbation: 	 118.000000 	 Time: 	 0.000000
3.- Local Search: 	 118.000000 	 Time: 	 0.000000
2.- Perturbation: 	 118.000000 	 Time: 	 0.000000
3.- Local Search: 	 118.000000 	 Time: 	 0.000000
2.- Perturbation: 	 81.000000 	 Time: 	 0.000000
3.- Local Search: 	 81.000000 	 Time: 	 0.000000
2.- Perturbation: 	 94.000000 	 Time: 	 0.000000
3.- Local Search: 	 94.000000 	 Time: 	 0.000000
2.- Perturbation: 	 108.000000 	 Time: 	 0.000000
3.- Local Search: 	 108.000000 	 Time: 	 0.000000
2.- Perturbation: 	 83.000000 	 Time: 	 0.000000
3.- Local Search: 	 83.000000 	 Time: 	 0.000000
2.- Perturbation: 	 98.000000 	 Time: 	 0.000000
3.- Local Search: 	 98.000000 	 Time: 	 0.000000
2.- Perturbation: 	 66.000000 	 Time: 	 0.000000
3.- Local Search: 	 66.000000 	 Time: 	 0.000000
2.- Perturbation: 	 97.000000 	 Time: 	 0.000000
3.- Local Search: 	 97.000000 	 Time: 	 0.000000
2.- Perturbation: 	 97.000000 	 Time: 	 0.000000
3.- Local Search: 	 97.000000 	 Time: 	 0.000000
2.- Perturbation: 	 104.000000 	 Time: 	 0.000000
3.- Local Search: 	 104.000000 	 Time: 	 0.000000
2.- Perturbation: 	 135.000000 	 Time: 	 0.000000
3.- Local Search: 	 135.000000 	 Time: 	 0.000000
1.- Communication: 	 66.000000 	 Time: 	 0.000000
New Iteration
2.- Perturbation: 	 101.000000 	 Time: 	 0.000000
3.- Local Search: 	 101.000000 	 Time: 	 0.000000
2.- Perturbation: 	 101.000000 	 Time: 	 0.000000
3.- Local Search: 	 101.000000 	 Time: 	 0.000000
2.- Perturbation: 	 110.000000 	 Time: 	 0.000000
3.- Local Search: 	 110.000000 	 Time: 	 0.000000
2.- Perturbation: 	 106.000000 	 Time: 	 0.000000
3.- Local Search: 	 106.000000 	 Time: 	 0.000000
2.- Perturbation: 	 115.000000 	 Time: 	 0.000000
3.- Local Search: 	 115.000000 	 Time: 	 0.000000
2.- Perturbation: 	 102.000000 	 Time: 	 0.000000
3.- Local Search: 	 102.000000 	 Time: 	 0.000000
2.- Perturbation: 	 106.000000 	 Time: 	 0.000000
3.- Local Search: 	 106.000000 	 Time: 	 0.000000
2.- Perturbation: 	 130.000000 	 Time: 	 0.000000
3.- Local Search: 	 130.000000 	 Time: 	 0.000000
2.- Perturbation: 	 115.000000 	 Time: 	 0.000000
3.- Local Search: 	 115.000000 	 Time: 	 0.000000
2.- Perturbation: 	 111.000000 	 Time: 	 0.000000
3.- Local Search: 	 111.000000 	 Time: 	 0.000000
2.- Perturbation: 	 66.000000 	 Time: 	 0.000000
3.- Local Search: 	 66.000000 	 Time: 	 0.000000
2.- Perturbation: 	 100.000000 	 Time: 	 0.000000
3.- Local Search: 	 100.000000 	 Time: 	 0.000000
2.- Perturbation: 	 105.000000 	 Time: 	 0.000000
3.- Local Search: 	 105.000000 	 Time: 	 0.000000
2.- Perturbation: 	 105.000000 	 Time: 	 0.000000
3.- Local Search: 	 105.000000 	 Time: 	 0.000000
2.- Perturbation: 	 116.000000 	 Time: 	 0.000000
3.- Local Search: 	 116.000000 	 Time: 	 0.000000
1.- Communication: 	 66.000000 	 Time: 	 0.000000
New Iteration
2.- Perturbation: 	 105.000000 	 Time: 	 0.000000
3.- Local Search: 	 105.000000 	 Time: 	 0.000000
2.- Perturbation: 	 95.000000 	 Time: 	 0.000000
3.- Local Search: 	 95.000000 	 Time: 	 0.000000
